dataset,model_loss,latent_dim,mean_score,std_score,n
scvi_pbmc12k,vae:mse,8,0.01827799435465025,0.013956867206097874,2
scvi_pbmc12k,vae:mse,16,0.0194208223539148,0.004175466382855373,2
scvi_pbmc12k,vae:mse,24,0.020502084583984698,0.000715929029596796,2
scvi_pbmc12k,vae:mse,32,0.022499768706625248,0.003109884547308858,2
scvi_pbmc12k,vae:nb,2,0.6154683765589366,0.017685360614461,2
scvi_pbmc12k,vae:nb,4,0.5530288144633372,0.039436662928694056,2
scvi_pbmc12k,vae:nb,8,0.5283458725957599,0.0059360779102726,2
scvi_pbmc12k,vae:nb,16,0.5985330217353482,0.10805960948292632,2
scvi_pbmc12k,vae:nb,24,0.5980362402798545,0.11149673415104534,2
scvi_pbmc12k,vae:nb,32,0.6814694216016282,0.03034311963756716,2
ts1_all_cells,ae:nb,8,0.0075996458963861,,1
ts1_all_cells,ae:nb,16,0.0078098258390874,,1
ts1_all_cells,ae:nb,24,0.0070950890502729,,1
ts1_all_cells,ae:nb,32,0.0054675712487034,,1
ts1_all_cells,scvi:nb,4,0.2387640297294938,,1
ts1_all_cells,scvi:nb,6,0.2643031220524316,,1
ts1_all_cells,scvi:nb,8,0.2676840830828185,0.01251433459399194,2
ts1_all_cells,scvi:nb,10,0.2703901399451687,,1
