model_loss,latent_dim,ari_mean,ari_std,ami_mean,sil_mean,sil_std,recon_mean,recon_std,n_seeds
ae:zinb,6,0.2387203445800531,0.05785066495383681,0.4185477495492509,0.2725227723519007,0.021546468406177844,0.6526027081650255,0.008409286646510326,3
ae:zinb,8,0.24262686718368917,0.051519630129421595,0.43774469572137226,0.2853977183500926,0.025972325268440236,0.6529467265975636,0.007820628173843264,3
ae:zinb,10,0.2383168961808827,0.03739357105172616,0.4339646407815854,0.2647939622402191,0.014940797248818626,0.6528315473534394,0.009767749479357492,3
ae:zinb,12,0.23417829960649814,0.05798490347711277,0.4129014128311108,0.26954410970211024,0.03302266556428124,0.6532014378406772,0.009345306176581256,3
ae:zinb,16,0.24922422699319893,0.038725260001434544,0.43701948856994743,0.2727896571159363,0.022364883222107432,0.6531467597854298,0.010174633188797997,3
ae:zinb,20,0.22835531962847844,0.04480782936847767,0.41540085616958505,0.2509201467037201,0.011033456679835825,0.6550675358382191,0.008529963000518748,3
ae:zinb,24,0.2379597808693141,0.052619628798941345,0.4293378004370573,0.2650258143742879,0.01869653520129182,0.6538535144739536,0.009108980128469535,3
ae:zinb,32,0.23499944246846236,0.05060576108570811,0.42413134174846906,0.25952199598153425,0.020881383882452427,0.6549208647456651,0.008077035684232998,3
ae:zinb,48,0.2428963965303583,0.057224960763727066,0.4302856294308181,0.24255937834580735,0.014132296930121942,0.6544537077747713,0.009310732403664486,3
ae:zinb,64,0.2352831795643722,0.028906568221155907,0.423465718313512,0.24476269880930582,0.010918803382870147,0.65393303704058,0.009910674166553135,3
scvi:nb,2,0.40404907182634875,0.012517688424534714,0.6043316372395298,0.38846665620803833,0.010794320608286855,1262.5048421223958,17.15517927753325,3
scvi:nb,4,0.3372407785343305,0.031921009342795334,0.5443256275444694,0.25248358647028607,0.0037250910231617675,1256.155517578125,18.121058245897718,3
scvi:nb,6,0.36036272201434033,0.033816080555084775,0.5581879662954368,0.21911961336930585,0.005050902791455186,1254.0667317708333,18.0557607393395,3
scvi:nb,8,0.3086696083928024,0.026519371574258616,0.5241829450684454,0.18785405655701948,0.0061553666565487535,1253.4163411458333,17.426042339031117,3
scvi:nb,10,0.3047372804152914,0.02264017449844088,0.5218950134601706,0.16249648233254751,0.010480285501873283,1252.3374430338542,17.74252596772656,3
scvi:nb,12,0.3344535509840678,0.027701037272891794,0.5362073735800915,0.17930617431799567,0.00880929499968384,1252.1643880208333,17.54811568783835,3
scvi:nb,16,0.31582428427686465,0.03983404331760363,0.5137263827191734,0.1603410492340723,0.0009550444874233329,1251.4205322265625,18.28896511496811,3
scvi:nb,20,0.3240805237278381,0.04271370965647155,0.5343586616234308,0.1519356121619542,0.0064953110712256444,1251.4276123046875,18.016716479449247,3
scvi:nb,24,0.2961647125478129,0.038960086865502126,0.5061692154614034,0.15543743968009946,0.009834303690728225,1251.3092447916667,17.817109923687394,3
scvi:nb,32,0.3293372497207568,0.017889682385923176,0.5209396709728004,0.16666495303312934,0.016649632598793474,1251.6034342447917,17.542857781257908,3
scvi:nb,48,0.3203159437763296,0.05971268347662343,0.5204875635424003,0.17627293864885962,0.011573650605384428,1251.9282633463542,17.826942714875297,3
scvi:nb,64,0.3144728142980571,0.026022824331535375,0.5264237525274181,0.18348779777685797,0.00849626981383262,1252.4071858723958,17.09361536983033,3
scvi:zinb,2,0.4020591430463618,0.014838296804587968,0.600181473154537,0.39195353786150616,0.013205730027198988,1261.3479817708333,16.752259237908294,3
scvi:zinb,4,0.3394947854554647,0.02809532783286577,0.5533395121507165,0.262276550134023,0.019761029728540443,1255.6512858072917,17.711960472450954,3
scvi:zinb,6,0.31998434227590883,0.045361206080325636,0.5282879803458598,0.20969527463118234,0.004010500466951042,1254.1006266276042,18.356179395645317,3
scvi:zinb,8,0.34092777707876687,0.01484668335048084,0.5313144452886446,0.18105792005856824,0.011534509832433992,1253.1551106770833,17.981074080939763,3
scvi:zinb,10,0.29361740955200005,0.03382941592652142,0.5051796596373239,0.1699593166510264,0.006739792105605134,1252.2246907552083,17.449179127459423,3
scvi:zinb,12,0.2968555684868793,0.037208019821430474,0.4991031109532542,0.16637066503365833,0.009260189099184819,1252.0954182942708,18.019610884764987,3
scvi:zinb,16,0.3174342475439895,0.03869425708344552,0.5094224399924153,0.16103357573350263,0.014391742419107362,1251.8578694661458,17.85905109335959,3
scvi:zinb,20,0.3379771462825243,0.01792408524350434,0.541680809146149,0.14811054368813828,0.007921891649023823,1251.7941080729167,18.074713033168496,3
scvi:zinb,24,0.3352943121636331,0.048420467028755305,0.5302798847214448,0.15419507523377735,0.006098176081895182,1251.9845784505208,17.929877762765024,3
scvi:zinb,32,0.3165914511459487,0.03301531985421063,0.5204621582128817,0.1584649433692296,0.006794391479060056,1251.35009765625,18.189930965160595,3
scvi:zinb,48,0.3103418485271042,0.04431557828581303,0.5224418115741295,0.1768260896205902,0.007494766493211277,1251.7458902994792,17.57634662547374,3
scvi:zinb,64,0.3192947146268705,0.04936931750421811,0.5254106536518709,0.18151619036992386,0.0025797448311367923,1252.2925618489583,17.669863928077973,3
vae:mse,2,0.016355943400385667,0.0038663559505865194,0.0366450161736432,0.35697752237319946,0.018342375521600247,0.6649795201526311,0.0027825676424119896,3
vae:mse,4,0.0160400362249051,0.010214568125671963,0.04075166937527277,0.2055671761433283,0.013686997697287552,0.6649381548930436,0.002789426420789651,3
vae:mse,6,0.014478719373290498,0.006960072196366662,0.0299766019482975,0.14714329441388443,0.020985184207619356,0.6648205517266987,0.004077005482403568,3
vae:mse,8,0.012740641048617668,0.003180962212670946,0.026126821210745204,0.14746033151944474,0.031497407103230554,0.6656965808408456,0.0038788500487268755,3
vae:mse,10,0.013753994447085867,0.0032417599380344334,0.04138138333542467,0.14559898525476453,0.019164756724927203,0.6663413253750411,0.0034175666666243455,3
